F60,RA,DEC,F100,RA.1,DEC.1,F90,RA.2,DEC.2,F140,RA.3,DEC.3
2.697013855,70.18269104,42.33735352,13.48806763,70.18269104,42.33735352,9.889683723,70.18269104,42.33735352,32.8758316,70.18269104,42.33735352
2.680742979,70.16240502,42.33752879,13.36578846,70.16240502,42.33752879,9.770710945,70.16240502,42.33752879,34.1032753,70.16240502,42.33752879
2.683365345,70.14211875,42.33770048,13.20361328,70.14211875,42.33770048,9.646330833,70.14211875,42.33770048,33.31041336,70.14211875,42.33770048
2.683365345,70.12183224,42.33786859,13.20361328,70.12183224,42.33786859,9.18234539,70.12183224,42.33786859,33.53229141,70.12183224,42.33786859
2.698450089,70.10154549,42.33803313,13.04864502,70.10154549,42.33803313,9.734933853,70.10154549,42.33803313,33.03887939,70.10154549,42.33803313
2.698450089,70.08125851,42.33819409,13.04864502,70.08125851,42.33819409,9.90073204,70.08125851,42.33819409,33.84644699,70.08125851,42.33819409
2.736391544,70.0609713,42.33835148,12.89857006,70.0609713,42.33835148,9.265680313,70.0609713,42.33835148,34.32645035,70.0609713,42.33835148
2.701919556,70.04068387,42.33850529,12.96574497,70.04068387,42.33850529,9.688642502,70.04068387,42.33850529,34.23394394,70.04068387,42.33850529
2.701919556,70.02039623,42.33865553,12.96574497,70.02039623,42.33865553,9.584155083,70.02039623,42.33865553,34.81057739,70.02039623,42.33865553
2.710391521,70.00010838,42.33880219,12.93866158,70.00010838,42.33880219,9.484873772,70.00010838,42.33880219,34.44957733,70.00010838,42.33880219
2.710391521,69.97982031,42.33894528,12.93866158,69.97982031,42.33894528,9.359039307,69.97982031,42.33894528,34.49226379,69.97982031,42.33894528
2.863335371,69.95953205,42.33908479,13.22106647,69.95953205,42.33908479,9.693949699,69.95953205,42.33908479,35.23696899,69.95953205,42.33908479
2.819710493,69.93924359,42.33922073,13.58707619,69.93924359,42.33922073,9.005645752,69.93924359,42.33922073,34.83969879,69.93924359,42.33922073
2.819710493,69.91895494,42.33935308,13.58707619,69.91895494,42.33935308,8.720132828,69.91895494,42.33935308,33.4520607,69.91895494,42.33935308
2.876531839,69.89866611,42.33948187,13.65406227,69.89866611,42.33948187,9.53521347,69.89866611,42.33948187,33.80513382,69.89866611,42.33948187
2.876531839,69.87837709,42.33960708,13.65406227,69.87837709,42.33960708,9.978588104,69.87837709,42.33960708,39.69566727,69.87837709,42.33960708
3.072419405,69.8580879,42.33972871,15.10652256,69.8580879,42.33972871,10.9555378,69.8580879,42.33972871,39.81195068,69.8580879,42.33972871
3.128016949,69.83779854,42.33984676,15.27257633,69.83779854,42.33984676,11.63328838,69.83779854,42.33984676,41.58286667,69.83779854,42.33984676
3.128016949,69.81750901,42.33996124,15.27257633,69.81750901,42.33996124,11.66461182,69.81750901,42.33996124,37.90826416,69.81750901,42.33996124
3.060771704,69.79721933,42.34007214,15.74370003,69.79721933,42.34007214,11.17551517,69.79721933,42.34007214,38.93223572,69.79721933,42.34007214
3.060771704,69.77692948,42.34017946,15.74370003,69.77692948,42.34017946,10.16796875,69.77692948,42.34017946,38.3907547,69.77692948,42.34017946
2.935897112,69.75663949,42.34028321,14.81482697,69.75663949,42.34028321,10.49390697,69.75663949,42.34028321,35.80686188,69.75663949,42.34028321
2.840240002,69.73634935,42.34038338,14.29843903,69.73634935,42.34038338,10.50651646,69.73634935,42.34038338,35.78183746,69.73634935,42.34038338
2.840240002,69.71605908,42.34047998,14.29843903,69.71605908,42.34047998,9.774162292,69.71605908,42.34047998,35.69684982,69.71605908,42.34047998
2.769676208,69.69576866,42.340573,13.80680656,69.69576866,42.340573,9.419013023,69.69576866,42.340573,36.06328964,69.69576866,42.340573
2.769676208,69.67547812,42.34066244,13.80680656,69.67547812,42.34066244,9.200434685,69.67547812,42.34066244,33.68148422,69.67547812,42.34066244
2.700858831,69.65518745,42.3407483,13.22131062,69.65518745,42.3407483,10.14381027,69.65518745,42.3407483,35.52466202,69.65518745,42.3407483
2.652514458,69.63489667,42.34083059,12.98289394,69.63489667,42.34083059,9.502141953,69.63489667,42.34083059,34.0275383,69.63489667,42.34083059
2.652514458,69.61460577,42.3409093,12.98289394,69.61460577,42.3409093,9.833164215,69.61460577,42.3409093,34.7998848,69.61460577,42.3409093
2.586732388,69.59431476,42.34098443,12.71887302,69.59431476,42.34098443,9.424589157,69.59431476,42.34098443,34.3218956,69.59431476,42.34098443
2.586732388,69.57402364,42.34105598,12.71887302,69.57402364,42.34105598,9.350941658,69.57402364,42.34105598,33.37583923,69.57402364,42.34105598
2.566911221,69.55373243,42.34112396,12.48538971,69.55373243,42.34112396,9.073373795,69.55373243,42.34112396,33.72839737,69.55373243,42.34112396
2.645207882,69.53344112,42.34118836,12.45069218,69.53344112,42.34118836,8.911048889,69.53344112,42.34118836,31.99457741,69.53344112,42.34118836
2.645207882,69.51314972,42.34124918,12.45069218,69.51314972,42.34124918,8.47538662,69.51314972,42.34124918,31.01170158,69.51314972,42.34124918
2.647060633,69.49285824,42.34130643,12.58764172,69.49285824,42.34130643,9.03168869,69.49285824,42.34130643,32.9369545,69.49285824,42.34130643
2.647060633,69.47256668,42.34136009,12.58764172,69.47256668,42.34136009,9.393466949,69.47256668,42.34136009,32.53334808,69.47256668,42.34136009
