MAIN_ID,ANG_DIST,OTYPE,hour,min,sec,ra,deg,arcmin,arcsec,dec,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,RA_d,DEC_d,PMRA,PMDEC,PMRA_PREC,PMDEC_PREC,PM_ERR_MAJA,PM_ERR_MINA,PM_ERR_ANGLE,PM_QUAL,PM_BIBCODE,FILTER_NAME_B,FLUX_B,FLUX_ERROR_B,FLUX_SYSTEM_B,FLUX_BIBCODE_B,FLUX_VAR_B,FLUX_MULT_B,FLUX_QUAL_B,FLUX_UNIT_B,FILTER_NAME_V,FLUX_V,FLUX_ERROR_V,FLUX_SYSTEM_V,FLUX_BIBCODE_V,FLUX_VAR_V,FLUX_MULT_V,FLUX_QUAL_V,FLUX_UNIT_V,FILTER_NAME_R,FLUX_R,FLUX_ERROR_R,FLUX_SYSTEM_R,FLUX_BIBCODE_R,FLUX_VAR_R,FLUX_MULT_R,FLUX_QUAL_R,FLUX_UNIT_R,FILTER_NAME_J,FLUX_J,FLUX_ERROR_J,FLUX_SYSTEM_J,FLUX_BIBCODE_J,FLUX_VAR_J,FLUX_MULT_J,FLUX_QUAL_J,FLUX_UNIT_J,FILTER_NAME_H,FLUX_H,FLUX_ERROR_H,FLUX_SYSTEM_H,FLUX_BIBCODE_H,FLUX_VAR_H,FLUX_MULT_H,FLUX_QUAL_H,FLUX_UNIT_H,FILTER_NAME_K,FLUX_K,FLUX_ERROR_K,FLUX_SYSTEM_K,FLUX_BIBCODE_K,FLUX_VAR_K,FLUX_MULT_K,FLUX_QUAL_K,FLUX_UNIT_K,RVZ_TYPE,RVZ_RADVEL,RVZ_ERROR,RVZ_QUAL,RVZ_WAVELENGTH,RVZ_BIBCODE,SP_TYPE,SP_QUAL,SP_BIBCODE,MORPH_TYPE,MORPH_QUAL,MORPH_BIBCODE,GALDIM_MAJAXIS,GALDIM_MINAXIS,GALDIM_ANGLE,GALDIM_QUAL,GALDIM_WAVELENGTH,GALDIM_BIBCODE,BIBLIST,
GD 61,0,WD*,4,38,39.3737,69.66405708,41,9,32.348,41.15898556,14,14,0.0514,0.0412,90,A,O,2018yCat.1345....0G,69.66405731,41.15898572,5.279,-109.349,3,3,0.102,0.067,90,A,2018yCat.1345....0G,B,14.767,8.00E-04,Vega,2013AJ....146..131L,,,B,B,V,14.879,8.00E-04,Vega,2013AJ....146..131L,,,B,V,R,14.932,0.0026,Vega,2013AJ....146..131L,,,B,R,J,15.116,0.046,Vega,2003yCat.2246....0C,,,C,J,H,15.254,0.099,Vega,2003yCat.2246....0C,,,C,H,K,14.901,0.137,Vega,2003yCat.2246....0C,,,C,K,,,,,,,DBAZ3,C,1988ApJ...330L..55S,,,,,,,,,,85,
UCAC4 656-023535,82.52,Star,4,38,41.5357,69.67306542,41,10,51.18,41.18088333,14,14,0.0378,0.029,90,A,O,2018yCat.1345....0G,69.67306559,41.1808834,1.597,-1.049,3,3,0.079,0.046,90,A,2018yCat.1345....0G,B,14.835,0.0014,Vega,2013AJ....146..131L,,,B,B,V,14.42,5.00E-04,Vega,2013AJ....146..131L,,,B,V,R,14.159,5.00E-04,Vega,2013AJ....146..131L,,,B,R,J,13.485,0.031,Vega,2003yCat.2246....0C,,,C,J,H,13.354,0.046,Vega,2003yCat.2246....0C,,,C,H,K,13.284,0.05,Vega,2003yCat.2246....0C,,,C,K,,,,,,,,,,,,,,,,,,,1,
HD 276630,128.28,Star,4,38,35.2407,69.64683625,41,11,31.842,41.19217833,14,14,0.0706,0.0479,90,A,O,2018yCat.1345....0G,69.64683661,41.19217853,20.89,-10.491,3,3,0.129,0.073,90,A,2018yCat.1345....0G,B,10,,Vega,,,,E,B,,,,,,,,,,,,,,,,,,,J,10.018,0.018,Vega,2003yCat.2246....0C,,,C,J,H,9.745,0.016,Vega,2003yCat.2246....0C,,,C,H,K,9.691,0.019,Vega,2003yCat.2246....0C,,,C,K,v,-31.91,1.08,B,O,2018yCat.1345....0G,G,E,1995A&AS..110..367N,,,,,,,,,,1,
UCAC4 656-023484,142.11,Star,4,38,27.1846,69.61326917,41,10,7.696,41.16880444,14,14,0.036,0.0238,90,A,O,2018yCat.1345....0G,69.61326924,41.16880468,-0.526,-3.582,3,3,0.065,0.039,90,A,2018yCat.1345....0G,B,14.279,6.00E-04,Vega,2013AJ....146..131L,,,B,B,V,13.731,9.00E-04,Vega,2013AJ....146..131L,,,B,V,R,13.387,7.00E-04,Vega,2013AJ....146..131L,,,B,R,J,12.525,0.021,Vega,2003yCat.2246....0C,,,C,J,H,12.346,0.023,Vega,2003yCat.2246....0C,,,C,H,K,12.25,0.024,Vega,2003yCat.2246....0C,,,C,K,,,,,,,,,,,,,,,,,,,1,
UCAC4 656-023493,145.45,Star,4,38,29.1231,69.62134625,41,11,0.433,41.18345361,14,14,0.0349,0.0243,90,A,O,2018yCat.1345....0G,69.62134667,41.18345378,0.819,-1.083,3,3,0.067,0.039,90,A,2018yCat.1345....0G,B,14.446,9.00E-04,Vega,2013AJ....146..131L,,,B,B,V,14.129,6.00E-04,Vega,2013AJ....146..131L,,,B,V,R,13.938,0.0017,Vega,2013AJ....146..131L,,,B,R,J,13.408,0.024,Vega,2003yCat.2246....0C,,,C,J,H,13.249,0.03,Vega,2003yCat.2246....0C,,,C,H,K,13.242,0.037,Vega,2003yCat.2246....0C,,,C,K,,,,,,,,,,,,,,,,,,,1,
2MASS J04382303+4112079,241.29,HB*,4,38,23.0362,69.59598417,41,12,7.912,41.20219778,14,14,0.0313,0.0223,90,A,O,2018yCat.1345....0G,69.59598446,41.20219794,-0.005,-1.491,3,3,0.059,0.035,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,11.577,0.019,Vega,2003yCat.2246....0C,,,C,J,H,10.824,0.017,Vega,2003yCat.2246....0C,,,C,H,K,10.646,0.02,Vega,2003yCat.2246....0C,,,C,K,,,,,,,,,,,,,,,,,,,3,
ZOAG G162.07-03.76,250.27,Galaxy,4,38,50,69.70833333,41,13,0.2,41.21672222,4,4,,,,E,,1997A&AS..126..247S,69.708,41.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
IRAS 04355+4105,348.31,Star,4,39,9.1225,69.78801042,41,11,4.518,41.18458833,14,14,0.0623,0.0511,90,A,O,2018yCat.1345....0G,69.78801069,41.18458856,1.226,-1.791,3,3,0.126,0.082,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,6.699,0.019,Vega,2003yCat.2246....0C,,,C,J,H,5.747,0.021,Vega,2003yCat.2246....0C,,,C,H,K,5.422,0.016,Vega,2003yCat.2246....0C,,,C,K,v,39.51,0.3,A,O,2018yCat.1345....0G,,,,,,,,,,,,,0,
HD 276629,350.43,Star,4,38,12.6987,69.55291125,41,6,33.512,41.10930889,14,14,0.0595,0.0458,90,A,O,2018yCat.1345....0G,69.55291139,41.10930905,-0.322,-3.189,3,3,1.07,1.053,90,A,2016A&A...595A...2G,B,9.68,0.04,Vega,2000A&A...355L..27H,,,D,B,V,8.71,0.02,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,6.694,0.023,Vega,2003yCat.2246....0C,,,C,J,H,6.254,0.02,Vega,2003yCat.2246....0C,,,C,H,K,6.133,0.021,Vega,2003yCat.2246....0C,,,C,K,v,-31.63,0.13,A,O,2018yCat.1345....0G,G5,E,1995A&AS..110..367N,,,,,,,,,,2,
TYC 2884-1142-1,360.35,Star,4,38,9.167,69.53819583,41,7,36.48,41.1268,7,7,133,111,90,B,O,2000A&A...355L..27H,69.538196,41.1268,-4,-1.5,1,1,2,2,90,B,2000A&A...355L..27H,B,11.72,0.14,Vega,2000A&A...355L..27H,,,D,B,V,11.57,0.2,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,10.82,0.018,Vega,2003yCat.2246....0C,,,C,J,H,10.741,0.019,Vega,2003yCat.2246....0C,,,C,H,K,10.674,0.02,Vega,2003yCat.2246....0C,,,C,K,,,,,,,,,,,,,,,,,,,0,
