hour,min,sec,ra,deg,arcmin,arcsec,dec,f100,f60,ratio,Temp,planck,Mass
4,1,23.37,60.347375,-74,6,26.2,-74.10727778,5.2847,0.1974,0.037353114,16.43422756,6.25173E-17,3.33679E+25
4,1,20.51,60.33545833,-74,5,9.3,-74.08591667,5.2828,0.1932,0.036571515,16.37494884,6.05662E-17,3.44304E+25
4,1,16.42,60.31841667,-74,3,23,-74.05638889,5.3288,0.2264,0.042486113,16.80464528,7.58306E-17,2.77392E+25
4,1,14.1,60.30875,-74,1,59.1,-74.03308333,5.4399,0.2474,0.045478777,17.00729197,8.39787E-17,2.557E+25
4,1,11.32,60.29716667,-74,0,33.7,-74.00936111,5.5568,0.2381,0.042848402,16.82966003,7.68022E-17,2.85601E+25
4,1,7.81,60.28254167,-73,59,0.5,-73.98347222,5.7198,0.2836,0.049582153,17.27161567,9.55923E-17,2.36193E+25
4,1,6.11,60.27545833,-73,57,41.2,-73.96144444,5.9029,0.2539,0.043012756,16.84096284,7.72443E-17,3.01653E+25
4,1,4.14,60.26725,-73,56,15.3,-73.93758333,6.0612,0.2764,0.045601531,17.01541742,8.43188E-17,2.83755E+25
4,0,59.47,60.24779167,-73,54,32.9,-73.90913889,6.1533,0.2867,0.046592885,17.0805268,8.70822E-17,2.78925E+25
4,0,58.11,60.242125,-73,53,11.6,-73.88655556,6.1774,0.3436,0.055622106,17.63635162,1.13574E-16,2.14701E+25
4,0,55.52,60.23133333,-73,51,49.5,-73.86375,6.2116,0.3812,0.061369051,17.96078575,1.31618E-16,1.86294E+25
4,0,52.2,60.2175,-73,50,19.5,-73.83875,6.3384,0.4016,0.063359838,18.06870671,1.38072E-16,1.8121E+25
4,0,49.22,60.20508333,-73,48,47.7,-73.81325,6.4207,0.4075,0.0634666,18.0744341,1.38421E-16,1.831E+25
4,0,48.2,60.20083333,-73,47,24.5,-73.79013889,6.4057,0.3904,0.06094572,17.93755568,1.30259E-16,1.94119E+25
4,0,44.4,60.185,-73,46,1.6,-73.76711111,6.2396,0.3344,0.053593179,17.51677269,1.07419E-16,2.29289E+25
4,1,43.49,60.43120833,-74,4,52.7,-74.08130556,5.3005,0.1808,0.03410999,16.1826124,5.45581E-17,3.83501E+25
4,1,38.47,60.41029167,-74,3,23.9,-74.05663889,5.3564,0.2213,0.041315062,16.72282674,7.27183E-17,2.90762E+25
4,1,36.77,60.40320833,-74,1,56.2,-74.03227778,5.3725,0.2021,0.037617497,16.45409427,6.31819E-17,3.35654E+25
4,1,34.28,60.39283333,-74,0,28.9,-74.00802778,5.4824,0.2435,0.044414855,16.9362667,8.10503E-17,2.67008E+25
4,1,30.74,60.37808333,-73,58,55.8,-73.98216667,5.6616,0.2761,0.048767133,17.22026588,9.32458E-17,2.39673E+25
4,1,26.89,60.36204167,-73,57,24.5,-73.95680556,5.8954,0.2741,0.046493877,17.07406458,8.68048E-17,2.68088E+25
4,1,25.21,60.35504167,-73,55,56.7,-73.93241667,5.9951,0.2764,0.046104319,17.04855194,8.57166E-17,2.76083E+25
4,1,22.71,60.344625,-73,54,37.9,-73.91052778,6.1136,0.2991,0.048923711,17.23017342,9.36951E-17,2.57566E+25
4,1,19.99,60.33329167,-73,53,4.2,-73.8845,6.2278,0.3465,0.055637625,17.63725549,1.13622E-16,2.16362E+25
4,1,16.63,60.31929167,-73,51,34.2,-73.8595,6.2624,0.3704,0.059146653,17.83768799,1.24535E-16,1.98499E+25
4,1,14.57,60.31070833,-73,49,56.7,-73.83241667,6.3632,0.3886,0.061069902,17.94438053,1.30657E-16,1.92244E+25
4,1,11.18,60.29658333,-73,48,35.2,-73.80977778,6.4207,0.3942,0.061395175,17.96221598,1.31702E-16,1.92442E+25
4,1,9.54,60.28975,-73,47,7.4,-73.78538889,6.3656,0.3962,0.062240794,18.00830828,1.34431E-16,1.86916E+25
4,1,7.78,60.28241667,-73,45,36.3,-73.76008333,6.1833,0.3387,0.054776576,17.58686021,1.10995E-16,2.199E+25
4,2,2.64,60.511,-74,4,42.1,-74.07836111,5.3044,0.1734,0.032689842,16.06743234,5.11881E-17,4.09049E+25
4,2,0.57,60.502375,-74,3,16.3,-74.05452778,5.2973,0.1779,0.033583146,16.1402614,5.32996E-17,3.92319E+25
